5.4432,5.346,NaN,5.2812,NaN,5.2812,5.3784,5.3784,5.5728,5.1192,5.1516,NaN,5.5404,NaN,5.67,5.4432,NaN,NaN,5.6376,5.67,5.5728,NaN,NaN,5.4756,NaN,5.5728,NaN,5.9616,NaN,5.184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.184,5.346,NaN,5.508,5.022,NaN,NaN,NaN,NaN,NaN,4.1148,NaN
0.7452,NaN,NaN,NaN,NaN,NaN,NaN,1.3284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0692,1.1016,0.972,0.8424,NaN,NaN,NaN,NaN,NaN
1.5228,1.6524,1.782,1.5228,1.6524,2.0088,1.2636,1.8144,2.0088,1.8792,1.8468,2.0736,2.0412,1.8144,1.9764,1.944,2.1708,2.2032,1.6524,1.5228,2.1384,1.6848,1.5228,1.8144,2.3652,2.0412,1.6524,2.4948,2.0088,2.0736,2.3328,2.268,2.106,2.5272,2.0736,2.3004,1.9116,1.8792,1.9116,0.9396,NaN,NaN,NaN,0.9072,0.8748,NaN,NaN,NaN,NaN,NaN
1.1016,1.6848,1.8792,1.1664,1.7172,2.0736,1.7496,NaN,1.1016,1.5228,NaN,NaN,NaN,NaN,NaN,1.3608,1.134,NaN,1.5876,0.9396,NaN,NaN,NaN,NaN,1.1988,NaN,0.81,NaN,0.9396,1.1988,1.0044,0.8424,1.0692,NaN,NaN,NaN,NaN,0.8424,NaN,0.8748,NaN,NaN,NaN,NaN,NaN,1.458,NaN,NaN,0.8424,0.8748
0.9396,0.972,0.8748,0.81,0.8424,NaN,NaN,NaN,1.2636,NaN,NaN,1.782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8468,NaN,NaN,NaN,NaN,0.8424,0.7452,NaN,NaN,NaN,NaN,NaN,NaN,1.0044,0.7452,NaN,NaN,0.7452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8424,NaN,NaN,NaN,NaN,NaN
1.0692,0.8748,0.972,1.0692,NaN,0.7776,0.9072,0.9396,0.9072,NaN,1.0368,0.972,1.0692,0.9072,1.0044,0.81,0.9396,0.8424,NaN,0.8424,0.9396,0.7776,0.8424,0.81,1.0044,0.9396,0.9396,0.9396,0.9072,0.9072,0.81,0.9396,1.0044,1.0368,0.972,0.81,1.1664,0.972,0.9072,1.0044,0.8424,0.972,0.8748,1.0044,0.8424,0.9396,1.1016,1.0044,1.134,0.8748
3.7908,1.8144,NaN,2.6244,3.078,NaN,NaN,NaN,NaN,NaN,0.972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.134,1.1016,1.2636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.81,0.8748,1.0044,0.81,0.9072,0.972,1.0044,1.0368,0.972,0.8748,1.0044,0.972,0.972,1.1016,1.0044,1.1664,1.0692,0.9396,1.0368,1.1664,1.4904,1.296,1.134,1.1664,1.1016,1.0368,1.0368,1.0368,1.0044,1.0368,0.9396,0.9072,1.1664,1.134,1.1664,0.81,1.1016,1.134,1.0692,0.9396,1.2636,1.296,1.296,1.134,1.0692,1.2636,1.3608,1.2312,0.8748,1.296
1.2312,1.4256,NaN,NaN,NaN,NaN,NaN,NaN,1.1016,NaN,NaN,NaN,NaN,NaN,NaN,1.0692,NaN,NaN,1.2636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.972,2.2032,NaN,NaN,2.0088,NaN,2.3652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.7864,1.8468,NaN,NaN,NaN,0.7452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0044,NaN,1.944,NaN,2.0736,NaN,NaN,NaN,1.8144,NaN,1.1664,2.5596,1.8144,NaN,2.5272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.782,1.7496,NaN,NaN,NaN,2.3004
0.7776,NaN,NaN,0.7776,0.7776,NaN,0.972,NaN,0.81,NaN,NaN,0.9072,NaN,1.134,NaN,NaN,0.7776,NaN,NaN,1.134,0.9072,0.7776,NaN,NaN,0.9072,NaN,1.1664,1.0044,1.0368,0.8424,0.9396,0.9072,0.81,NaN,NaN,1.134,0.9396,0.7776,1.2312,0.8748,0.8748,0.81,NaN,1.62,NaN,0.81,0.81,NaN,0.7776,NaN
1.1016,NaN,1.2312,1.782,1.0044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.134,1.2636,1.1664,1.0692,1.1016,1.8792,NaN,2.4624,NaN,1.1988,1.4256,0.972,NaN,0.9396,1.0044,1.458,1.296,1.3608,0.9396,1.3932,0.81,1.0044,1.6524,0.9072,1.4904,0.9072,NaN,0.972,1.0044,1.4256,0.81,0.7776,1.134,1.4904,NaN,NaN,NaN,NaN
2.106,2.0736,3.7908,3.6612,3.4992,4.1796,2.43,3.3696,2.6568,4.3416,3.5964,3.888,4.7628,4.1796,4.3092,3.2724,4.4388,NaN,2.9484,NaN,NaN,NaN,3.6612,NaN,NaN,5.2812,3.8232,NaN,2.1384,1.9116,NaN,NaN,2.106,4.3092,1.2312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.4904,1.62,0.81,0.9396,1.0692,0.9396,0.81,0.7452,1.7172,0.8424,0.8748,0.8424,0.8748,1.3608,0.8748,0.7776,1.6524,1.5552,NaN,NaN,NaN,0.8748,1.2636,NaN,0.7452,NaN,0.81,1.2312,1.134,0.7452,1.0692,0.7452,1.5876,1.4256,NaN,0.9072,0.8748,1.458,1.4904,1.6524,1.5876,1.3932,1.2312,1.4904,1.2312,1.62,1.2312,1.458,1.4256,1.4904
2.3976,2.592,2.5596,2.3652,2.4948,3.078,2.3328,2.916,2.754,0.7452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
